titulo,numeros,ult_publi,ult_volume,ult_numero,link
Almanack,28 números,Último: 2021,Número: 28 (corrente),,https://www.scielo.br/j/alm/
Ambiente & Sociedade,51 números,Último: 2021,Volume: 24 (corrente),,https://www.scielo.br/j/alm/
Anais da Academia Brasileira de Ciências,102 números,Último: 2021,Volume: 93,Número: 3 (corrente),https://www.scielo.br/j/aabc/
Anais do Museu Paulista: História e Cultura Material,41 números,Último: 2021,Volume: 29 (corrente),,https://www.scielo.br/j/anaismp/
Avaliação: Revista da Avaliação da Educação Superior (Campinas),43 números,Último: 2021,Volume: 26,Número: 1 (corrente),https://www.scielo.br/j/aval/
Bolema: Boletim de Educação Matemática,29 números,Último: 2021,Volume: 35,Número: 69 (corrente),https://www.scielo.br/j/bolema/
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,47 números,Último: 2021,Volume: 16,Número: 2 (corrente),https://www.scielo.br/j/bgoeldi/
Brazilian Journal of Political Economy,79 números,Último: 2021,Volume: 41,Número: 2 (corrente),https://www.scielo.br/j/rep/
Brazilian Political Science Review,27 números,Último: 2021,Volume: 15,Número: 2 (corrente),https://www.scielo.br/j/bpsr/
Caderno CRH,43 números,Último: 2020,Volume: 33 (corrente),,https://www.scielo.br/j/ccrh/
Cadernos CEDES,74 números,Último: 2021,Volume: 41,Número: 114 (corrente),https://www.scielo.br/j/ccedes/
Cadernos de Pesquisa,74 números,Último: 2021,Volume: 51 (corrente),,https://www.scielo.br/j/cp/
Cadernos Nietzsche,23 números,Último: 2021,Volume: 42,Número: 1 (corrente),https://www.scielo.br/j/cniet/
Cadernos Pagu,44 números,Último: 2020,Número: 60 (corrente),,https://www.scielo.br/j/cpa/
Ciência & Educação (Bauru),69 números,Último: 2021,Volume: 27 (corrente),,https://www.scielo.br/j/ciedu/
Civitas - Revista de Ciências Sociais,31 números,Último: 2020,Volume: 20,Número: 3 (corrente),https://www.scielo.br/j/civitas/
Contexto Internacional,47 números,Último: 2021,Volume: 43,Número: 1 (corrente),https://www.scielo.br/j/cint/
Dados,99 números,Último: 2021,Volume: 64,Número: 3 (corrente),https://www.scielo.br/j/dados/
Dementia & Neuropsychologia,57 números,Último: 2021,Volume: 15,Número: 1 (corrente),https://www.scielo.br/j/dn/
Dilemas: Revista de Estudos de Conflito e Controle Social,3 números,Último: 2021,Volume: 14,Número: 1 (corrente),https://www.scielo.br/j/dilemas/
Educação e Pesquisa,65 números,Último: 2021,Volume: 47 (corrente),,https://www.scielo.br/j/ep/
Educação em Revista,39 números,Último: 2021,Volume: 37 (corrente),,https://www.scielo.br/j/edur/
Educação & Realidade,37 números,Último: 2021,Volume: 46,Número: 1 (corrente),https://www.scielo.br/j/edreal/
Educação & Sociedade,91 números,Último: 2021,Volume: 42 (corrente),,https://www.scielo.br/j/es/
Educar em Revista,93 números,Último: 2021,Volume: 37 (corrente),,https://www.scielo.br/j/er/
Ensaio: Avaliação e Políticas Públicas em Educação,67 números,Último: 2021,Volume: 29,Número: 111 (corrente),https://www.scielo.br/j/ensaio/
Ensaio Pesquisa em Educação em Ciências (Belo Horizonte),49 números,Último: 2021,Volume: 23 (corrente),,https://www.scielo.br/j/epec/
Estudos Avançados,101 números,Último: 2021,Volume: 35,Número: 101 (corrente),https://www.scielo.br/j/ea/
Estudos de Psicologia (Campinas),84 números,Último: 2021,Volume: 38 (corrente),,https://www.scielo.br/j/estpsi/
Estudos Históricos (Rio de Janeiro),32 números,Último: 2021,Volume: 34,Número: 72 (corrente),https://www.scielo.br/j/eh/
Fractal: Revista de Psicologia,42 números,Último: 2021,Volume: 33,Número: 1 (corrente),https://www.scielo.br/j/fractal/
GEOUSP,1 números,Último: 2021,Volume: 25,Número: 1 (corrente),https://www.scielo.br/j/geo/
"História, Ciências, Saúde-Manguinhos",119 números,Último: 2021,Volume: 28,Número: 1 (corrente),https://www.scielo.br/j/hcsm/
História da Educação,22 números,Último: 2021,Volume: 25 (corrente),,https://www.scielo.br/j/heduc/
História (São Paulo),30 números,Último: 2020,Volume: 39 (corrente),,https://www.scielo.br/j/his/
Horizontes Antropológicos,54 números,Último: 2021,Volume: 27,Número: 59 (corrente),https://www.scielo.br/j/ha/
Interações (Campo Grande),40 números,Último: 2020,Volume: 21,Número: 4 (corrente),https://www.scielo.br/j/inter/
"Interface - Comunicação, Saúde, Educação",80 números,Último: 2021,Volume: 25 Suplemento 1 (corrente),,https://www.scielo.br/j/icse/
Kriterion: Revista de Filosofia,44 números,Último: 2020,Volume: 61,Número: 147 (corrente),https://www.scielo.br/j/kr/
Lua Nova: Revista de Cultura e Política,107 números,Último: 2020,Número: 111 (corrente),,https://www.scielo.br/j/ln/
Mana,60 números,Último: 2021,Volume: 27,Número: 1 (corrente),https://www.scielo.br/j/mana/
Manuscrito,32 números,Último: 2021,Volume: 44,Número: 1 (corrente),https://www.scielo.br/j/man/
Mercator (Fortaleza),16 números,Último: 2021,Volume: 20 (corrente),,https://www.scielo.br/j/mercator/
Movimento,2 números,Último: 2021,Volume: 27 (corrente),,https://www.scielo.br/j/mov/
Novos estudos CEBRAP,47 números,Último: 2020,Volume: 39,Número: 3 (corrente),https://www.scielo.br/j/nec/
Opinião Pública,49 números,Último: 2020,Volume: 26,Número: 3 (corrente),https://www.scielo.br/j/op/
Paidéia (Ribeirão Preto),69 números,Último: 2021,Volume: 31 (corrente),,https://www.scielo.br/j/paideia/
Perspectiva Teológica,4 números,Último: 2021,Volume: 53,Número: 1 (corrente),https://www.scielo.br/j/pteo/
Physis: Revista de Saúde Coletiva,85 números,Último: 2021,Volume: 31,Número: 1 (corrente),https://www.scielo.br/j/physis/
Pro-Posições,37 números,Último: 2021,Volume: 32 (corrente),,https://www.scielo.br/j/pp/
Psico-USF,54 números,Último: 2021,Volume: 26,Número: 1 (corrente),https://www.scielo.br/j/pusf/
Psicologia: Ciência e Profissão,124 números,Último: 2020,Volume: 40,Número: spe (corrente),https://www.scielo.br/j/pcp/
Psicologia em Estudo,53 números,Último: 2021,Volume: 26 (corrente),,https://www.scielo.br/j/pe/
Psicologia Escolar e Educacional,55 números,Último: 2021,Volume: 25 (corrente),,https://www.scielo.br/j/pee/
Psicologia: Reflexão e Crítica,69 números,Último: 2021,Volume: 34 (corrente),,https://www.scielo.br/j/prc/
Psicologia & Sociedade,58 números,Último: 2021,Volume: 33 (corrente),,https://www.scielo.br/j/psoc/
Psicologia: Teoria e Pesquisa,73 números,Último: 2021,Volume: 37 (corrente),,https://www.scielo.br/j/ptp/
Psicologia USP,69 números,Último: 2021,Volume: 32 (corrente),,https://www.scielo.br/j/ptp/
Religião & Sociedade,32 números,Último: 2020,Volume: 40,Número: 3 (corrente),https://www.scielo.br/j/rs/
REMHU: Revista Interdisciplinar da Mobilidade Humana,24 números,Último: 2021,Volume: 29,Número: 61 (corrente),https://www.scielo.br/j/remhu/
Revista Archai,7 números,Último: 2021,Número: 31 (corrente),,https://www.scielo.br/j/archai/
Revista Bioética,28 números,Último: 2021,Volume: 29,Número: 1 (corrente),https://www.scielo.br/j/bioet/
Revista Brasileira de Ciência Política,31 números,Último: 2021,Número: 35 (corrente),,https://www.scielo.br/j/rbcpol/
Revista Brasileira de Ciências Sociais,73 números,Último: 2021,Volume: 36,Número: 106 (corrente),https://www.scielo.br/j/rbcsoc/
Revista Brasileira de Educação,62 números,Último: 2021,Volume: 26 (corrente),,https://www.scielo.br/j/rbedu/
Revista Brasileira de Educação Especial,59 números,Último: 2021,Volume: 27 (corrente),,https://www.scielo.br/j/rbee/
Revista Brasileira de Educação Médica,92 números,Último: 2021,Volume: 45 Suplemento 1 (corrente),,https://www.scielo.br/j/rbem/
Revista Brasileira de Ensino de Física,79 números,Último: 2021,Volume: 43 Suplemento 1 (corrente),,https://www.scielo.br/j/rbef/
Revista Brasileira de Estudos Pedagógicos,25 números,Último: 2020,Volume: 101,Número: 259 (corrente),https://www.scielo.br/j/rbeped/
Revista Brasileira de Geriatria e Gerontologia,66 números,Último: 2021,Volume: 24,Número: 6 (corrente),https://www.scielo.br/j/rbgg/
Revista Brasileira de História,53 números,Último: 2021,Volume: 41,Número: 86 (corrente),https://www.scielo.br/j/rbh/
Revista Brasileira de História da Educação,4 números,Último: 2021,Volume: 21 (corrente),,https://www.scielo.br/j/rbhe/
Revista Brasileira de Política Internacional,54 números,Último: 2021,Volume: 64,Número: 2 (corrente),https://www.scielo.br/j/rbpi/
Revista de Economia e Sociologia Rural,82 números,Último: 2022,Volume: 60,Número: 1 (corrente),https://www.scielo.br/j/resr/
Revista de História (São Paulo),13 números,Último: 2021,Número: 180 (corrente),,https://www.scielo.br/j/rh/
Revista de Sociologia e Política,67 números,Último: 2020,Volume: 28,Número: 76 (corrente),https://www.scielo.br/j/rsocp/
Revista do Instituto de Estudos Brasileiros,25 números,Último: 2021,Número: 78 (corrente),,https://www.scielo.br/j/rieb/
Revista Estudos Feministas,58 números,Último: 2021,Volume: 29,Número: 1 (corrente),https://www.scielo.br/j/ref/
Revista Latinoamericana de Psicopatologia Fundamental,96 números,Último: 2021,Volume: 24,Número: 1 (corrente),https://www.scielo.br/j/rlpf/
Saúde e Sociedade,93 números,Último: 2021,Volume: 30,Número: 1 (corrente),https://www.scielo.br/j/sausoc/
"Sexualidad, Salud y Sociedad (Rio de Janeiro)",31 números,Último: 2020,Número: 36 (corrente),,https://www.scielo.br/j/sess/
Sociedade e Estado,57 números,Último: 2021,Volume: 36,Número: 1 (corrente),https://www.scielo.br/j/se/
Sociedade & Natureza,28 números,Último: 2021,Volume: 33 (corrente),,https://www.scielo.br/j/sn/
Sociologia & Antropologia,26 números,Último: 2020,Volume: 10,Número: 3 (corrente),https://www.scielo.br/j/sant/
Sociologias,53 números,Último: 2021,Volume: 23,Número: 56 (corrente),https://www.scielo.br/j/soc/
Tempo,37 números,Último: 2021,Volume: 27,Número: 1 (corrente),https://www.scielo.br/j/tem/
Tempo Social,64 números,Último: 2020,Volume: 32,Número: 3 (corrente),https://www.scielo.br/j/ts/
