titulo,ano,link,numeros
Almanack,2021,/j/alm/i/2021.n27/ ; /j/alm/i/2021.n28/,2
Almanack,2020,/j/alm/i/2020.n24/ ; /j/alm/i/2020.n25/ ; /j/alm/i/2020.n26/,3
Almanack,2019,/j/alm/i/2019.n21/ ; /j/alm/i/2019.n22/ ; /j/alm/i/2019.n23/,3
Almanack,2018,/j/alm/i/2018.n18/ ; /j/alm/i/2018.n19/ ; /j/alm/i/2018.n20/,3
Almanack,2017,/j/alm/i/2017.n15/ ; /j/alm/i/2017.n16/ ; /j/alm/i/2017.n17/,3
Almanack,2016,/j/alm/i/2016.n12/ ; /j/alm/i/2016.n13/ ; /j/alm/i/2016.n14/,3
Almanack,2015,/j/alm/i/2015.n9/ ; /j/alm/i/2015.n10/ ; /j/alm/i/2015.n11/,3
Almanack,2014,/j/alm/i/2014.n7/ ; /j/alm/i/2014.n8/,2
Almanack,2013,/j/alm/i/2013.n5/ ; /j/alm/i/2013.n6/,2
Almanack,2012,/j/alm/i/2012.n3/ ; /j/alm/i/2012.n4/,2
Almanack,2011,/j/alm/i/2011.n1/ ; /j/alm/i/2011.n2/,2
Ambiente & Sociedade,2021,/j/alm/i/2021.n27/ ; /j/alm/i/2021.n28/,2
Ambiente & Sociedade,2020,/j/alm/i/2020.n24/ ; /j/alm/i/2020.n25/ ; /j/alm/i/2020.n26/,3
Ambiente & Sociedade,2019,/j/alm/i/2019.n21/ ; /j/alm/i/2019.n22/ ; /j/alm/i/2019.n23/,3
Ambiente & Sociedade,2018,/j/alm/i/2018.n18/ ; /j/alm/i/2018.n19/ ; /j/alm/i/2018.n20/,3
Ambiente & Sociedade,2017,/j/alm/i/2017.n15/ ; /j/alm/i/2017.n16/ ; /j/alm/i/2017.n17/,3
Ambiente & Sociedade,2016,/j/alm/i/2016.n12/ ; /j/alm/i/2016.n13/ ; /j/alm/i/2016.n14/,3
Ambiente & Sociedade,2015,/j/alm/i/2015.n9/ ; /j/alm/i/2015.n10/ ; /j/alm/i/2015.n11/,3
Ambiente & Sociedade,2014,/j/alm/i/2014.n7/ ; /j/alm/i/2014.n8/,2
Ambiente & Sociedade,2013,/j/alm/i/2013.n5/ ; /j/alm/i/2013.n6/,2
Ambiente & Sociedade,2012,/j/alm/i/2012.n3/ ; /j/alm/i/2012.n4/,2
Ambiente & Sociedade,2011,/j/alm/i/2011.n1/ ; /j/alm/i/2011.n2/,2
Anais da Academia Brasileira de Ciências,2021,/j/aabc/i/2021.v93n1/ ; /j/aabc/i/2021.v93suppl1/ ; /j/aabc/i/2021.v93n2/ ; /j/aabc/i/2021.v93suppl2/ ; /j/aabc/i/2021.v93n3/,5
Anais da Academia Brasileira de Ciências,2020,/j/aabc/i/2020.v92n1/ ; /j/aabc/i/2020.v92suppl1/ ; /j/aabc/i/2020.v92n2/ ; /j/aabc/i/2020.v92suppl2/ ; /j/aabc/i/2020.v92n3/ ; /j/aabc/i/2020.v92n4/,6
Anais da Academia Brasileira de Ciências,2019,/j/aabc/i/2019.v91n1/ ; /j/aabc/i/2019.v91suppl1/ ; /j/aabc/i/2019.v91n2/ ; /j/aabc/i/2019.v91suppl2/ ; /j/aabc/i/2019.v91n3/ ; /j/aabc/i/2019.v91suppl3/ ; /j/aabc/i/2019.v91n4/,7
Anais da Academia Brasileira de Ciências,2018,/j/aabc/i/2018.v90n1/ ; /j/aabc/i/2018.v90n1suppl1/ ; /j/aabc/i/2018.v90n1suppl2/ ; /j/aabc/i/2018.v90n2/ ; /j/aabc/i/2018.v90n2suppl1/ ; /j/aabc/i/2018.v90n3/ ; /j/aabc/i/2018.v90n4/,7
